Date,Open,High,Low,Close,Adj Close,Volume
2019-09-19,5800.0,5849.0,5667.0,5748.0,5094.86474609375,10951014
2019-09-20,5688.0,5875.0,5661.0,5822.0,5160.4560546875,10203564
2019-09-23,5811.0,5850.0,5643.0,5670.0,5025.7275390625,3246068
2019-09-25,5650.0,5710.0,5466.0,5504.0,4878.5888671875,5578563
2019-09-26,5540.0,5662.0,5530.0,5619.0,4980.52294921875,2391762
2019-09-27,5620.0,5631.0,5522.0,5595.0,4959.24951171875,2275537
2019-09-30,5565.0,5596.0,5462.0,5508.0,4882.1357421875,4763074
2019-10-01,5475.0,5547.0,5376.0,5435.0,4817.4296875,3332527
2019-10-02,5436.0,5452.0,5305.0,5323.0,4718.15673828125,3711766
2019-10-03,5300.0,5436.0,5290.0,5319.0,4714.61083984375,4560752
2019-10-04,5304.0,5443.0,5300.0,5420.0,4804.1337890625,4272935
2019-10-07,5420.0,5489.0,5368.0,5478.0,4855.5439453125,3321600
2019-10-08,5478.0,5526.0,5392.0,5460.0,4839.58935546875,2833636
2019-10-09,5470.0,5495.0,5362.0,5406.0,4791.724609375,3211166
2019-10-10,5437.0,5483.0,5320.0,5472.0,4850.22607421875,3628087
2019-10-11,5473.0,5553.0,5420.0,5542.0,4912.27197265625,3454237
2019-10-14,5565.0,5587.0,5408.0,5443.0,4824.52099609375,2026301
2019-10-15,5461.0,5525.0,5424.0,5480.0,4857.31640625,2177143
2019-10-16,5495.0,5530.0,5366.0,5500.0,4875.0439453125,5074783
2019-10-17,5500.0,5606.0,5418.0,5560.0,4928.2265625,3934849
2019-10-18,5568.0,5615.0,5529.0,5575.0,4941.521484375,3145338
2019-10-21,5599.0,5620.0,5518.0,5600.0,4963.68115234375,1840907
2019-10-22,5575.0,5900.0,5575.0,5878.0,5210.0927734375,7037622
